match_id,times,rad_gold_adv,rad_xp_adv
41030,1500,2759,6255
41031,300,1656,954
41031,720,4225,2979
41031,1500,17118,17822
41032,300,-1523,-715
41032,720,-4127,-2792
41032,1500,-8026,-10433
41033,300,-446,-142
41033,720,-3247,-1646
41033,1500,1278,4920
41034,300,593,682
41034,720,1962,1803
41034,1500,6480,2660
41035,300,696,51
41035,720,3066,1976
41035,1500,1238,-2621
41036,300,1581,367
41036,720,1700,1543
41036,1500,7724,7048
41037,300,-1324,-532
41037,720,-2261,-443
41037,1500,-7542,-10209
41038,300,535,893
41038,720,2505,1073
41038,1500,8884,6820
41039,300,2616,634
41039,720,6043,3803
41039,1500,17851,15609
41040,300,-460,-439
41040,720,-1809,-1484
41040,1500,-13987,-6983
41041,300,2143,723
41041,720,8769,3480
41041,1500,3744,609
41042,300,-2347,-872
41042,720,-3172,-2780
41042,1500,-11418,-7269
41043,300,235,-26
41043,720,2089,717
41043,1500,1418,4982
41044,300,448,926
41044,720,3561,3258
41044,1500,11366,8877
41045,300,1402,1886
41045,720,4405,5276
41045,1500,-1996,276
41046,300,-1307,-1295
41046,720,-3164,-4570
41046,1500,-3309,-5018
41047,300,147,-762
41047,720,430,-3074
41047,1500,29786,20209
41048,300,-2997,-3097
41048,720,-3827,-3142
41048,1500,-9446,-10223
41049,300,-1040,-970
41049,720,-2334,-489
41049,1500,-1073,3122
41050,300,-561,-622
41050,720,-484,-318
41050,1500,1553,1955
41051,300,-540,-985
41051,720,-1091,-1959
41051,1500,160,-3691
41052,300,573,251
41052,720,2571,3813
41052,1500,15198,13000
41053,300,-270,-95
41053,720,-1553,-2679
41053,1500,-5826,-6420
41054,300,124,985
41054,720,2941,2287
41054,1500,22199,14757
41055,300,389,962
41055,720,-556,142
41055,1500,-1497,-2883
41056,300,-206,-516
41056,720,-1578,-1792
41056,1500,1301,2565
41057,300,246,245
41057,720,2552,2304
41057,1500,-1243,-8257
41058,300,-1334,-613
41058,720,-1513,-1961
41058,1500,188,1194
41059,300,1006,515
41059,720,248,-619
41059,1500,3875,7458
41060,300,736,-39
41060,720,81,-1453
41060,1500,-764,-2122
41061,300,-1064,-882
41061,720,877,-639
41061,1500,2059,4766
41062,300,-332,501
41062,720,-1468,625
41062,1500,-2137,-3217
41063,300,-1049,-1020
41063,720,-2952,-2248
41063,1500,-20899,-14521
41064,300,-542,-1028
41064,720,-1481,-1392
41064,1500,-10210,-13369
41065,300,-1810,-1481
41065,720,-2185,-2161
41065,1500,-10878,-14361
41066,300,-2198,-1364
41066,720,-4778,-3930
41066,1500,-11402,-7418
41067,300,2411,28
41067,720,8665,5302
41067,1500,23581,13576
41068,300,2292,1630
41068,720,9253,6920
41068,1500,33090,23202
41069,300,939,384
41069,720,65,-1793
41069,1500,3690,3225
41070,300,213,-70
41070,720,-1276,-3373
41070,1500,617,954
41071,300,-129,-39
41071,720,354,614
41071,1500,-10555,-9331
41072,300,-640,90
41072,720,-4616,-3328
41072,1500,-20875,-18859
41073,300,-1817,390
41073,720,-3418,-3
41073,1500,4218,12045
41074,300,2209,204
41074,720,5840,-380
41074,1500,4228,-2152
41075,300,-936,-529
41075,720,-1702,-2030
41075,1500,-8821,-8017
41076,300,1341,2444
41076,720,5225,4988
41076,1500,19317,17550
41077,300,91,265
41077,720,3415,2603
41077,1500,10493,10350
41078,300,-768,-140
41078,720,-1948,-1243
41078,1500,3957,6047
41079,300,910,1295
41079,720,1748,-145
41079,1500,7288,9012
41080,300,1472,861
41080,720,1699,1472
41080,1500,1878,2228
41081,300,1177,256
41081,720,6243,4764
41081,1500,3123,2931
41082,300,682,607
41082,720,2067,2232
41082,1500,8632,13060
41083,300,-4818,-4001
41083,720,-4769,-4995
41083,1500,-3044,-3988
41084,300,-860,-1329
41084,720,70,-434
41084,1500,-3425,-7262
41085,300,-1335,-1249
41085,720,-6488,-6870
41085,1500,-17615,-19156
41086,300,-121,-660
41086,720,3179,3526
41086,1500,-6577,-7396
41087,300,555,123
41087,720,4467,1883
41087,1500,12462,11165
41088,300,-90,-448
41088,720,-82,-838
41088,1500,-2422,-5211
41089,300,-402,-306
41089,720,-3033,-3686
41089,1500,-16551,-17491
41090,300,1981,2220
41090,720,4488,4586
41090,1500,9593,12706
41091,300,-1483,-263
41091,720,-4116,354
41091,1500,-2356,-584
41092,300,3265,1775
41092,720,9945,7219
41092,1500,20639,18161
41093,300,1914,1101
41093,720,3062,3081
41093,1500,11222,10117
41094,300,687,536
41094,720,1123,455
41094,1500,5464,5088
41095,300,-295,-596
41095,720,811,749
41095,1500,1230,2821
41096,300,1791,383
41096,720,5357,3974
41096,1500,12310,12431
41097,300,-1627,-1402
41097,720,-6478,-5393
41097,1500,-8244,-11780
41098,300,-1187,-510
41098,720,-646,-878
41098,1500,-12193,-20316
41099,300,978,952
41099,720,1896,-937
41099,1500,7686,5324
41100,300,-534,-1041
41100,720,-5289,-5107
41100,1500,-28211,-26028
41101,300,-293,320
41101,720,-1863,-666
41101,1500,2071,3683
41102,300,1969,524
41102,720,4597,3901
41102,1500,27434,17423
41103,300,1096,-108
41103,720,2840,-88
41103,1500,5848,6204
41104,300,208,419
41104,720,3453,3770
41104,1500,21413,16147
41105,300,-863,-14
41105,720,-1315,511
41105,1500,1092,6272
41106,300,164,420
41106,720,-1398,-506
41106,1500,-11518,-11713
41107,300,1087,999
41107,720,2075,1208
41107,1500,1300,-263
41108,300,-86,841
41108,720,-1334,-1642
41108,1500,-7124,-8956
41109,300,-189,236
41109,720,-2884,-2641
41109,1500,-4349,-5104
41110,300,-1762,-1812
41110,720,-2186,-3204
41110,1500,-9242,-14132
41111,300,792,-378
41111,720,3830,3105
41111,1500,2294,-5992
41112,300,1663,1281
41112,720,83,400
41112,1500,2426,2376
41113,300,-1995,-1073
41113,720,-212,431
41113,1500,-6016,-7091
41114,300,-753,-1794
41114,720,-900,-1961
41114,1500,-2088,-1663
41115,300,-821,-1164
41115,720,-2482,-1346
41115,1500,-67,1816
41116,300,517,487
41116,720,-426,-2044
41116,1500,4228,9174
41117,300,-1146,-337
41117,720,-5118,-739
41117,1500,-18441,-14863
41118,300,357,549
41118,720,2826,555
41118,1500,10948,6407
41119,300,-1260,-549
41119,720,2551,3575
41119,1500,6627,9574
41120,300,1004,213
41120,720,1036,938
41120,1500,-1300,-337
41121,300,533,602
41121,720,1308,593
41121,1500,-4734,-8335
41122,300,-493,608
41122,720,878,34
41122,1500,6205,5319
41123,300,796,606
41123,720,-494,-1660
41123,1500,9297,15141
41124,300,-1282,-1647
41124,720,-7288,-5963
41124,1500,-5286,-1537
41125,300,-437,-301
41125,720,810,1828
41125,1500,14848,14455
41126,300,72,-229
41126,720,1575,818
41126,1500,10292,15259
41127,300,-1350,-998
41127,720,-2695,-2674
41127,1500,3305,3337
41128,300,-266,-492
41128,720,184,862
41128,1500,7706,11709
41129,300,-2419,-1930
41129,720,-2346,-1568
41129,1500,-4686,-5970
41130,300,1456,1281
41130,720,7183,5229
41130,1500,14896,18096
41131,300,-1572,-1148
41131,720,-2795,-2419
41131,1500,-7504,-5722
41132,300,449,279
41132,720,1125,1823
41132,1500,5483,3524
41133,300,181,-111
41133,720,1476,2171
41133,1500,4304,6662
41134,300,-361,-794
41134,720,760,-1303
41134,1500,-6006,-6766
41135,300,590,410
41135,720,-204,370
41135,1500,-7551,-10089
41136,300,2172,2144
41136,720,3184,3336
41136,1500,11423,13824
41137,300,-957,-671
41137,720,-1009,-1472
41137,1500,-3351,-14485
41138,300,-1297,157
41138,720,-4357,-4842
41138,1500,-19194,-24569
41139,300,-740,-7
41139,720,-2770,-2644
41139,1500,-371,3687
41140,300,322,-103
41140,720,457,-988
41140,1500,-4072,-4366
41141,300,930,101
41141,720,3866,189
41142,300,122,-539
41142,720,-505,-911
41142,1500,3170,878
41143,300,-296,315
41143,720,755,-262
41143,1500,4476,8202
41144,300,866,773
41144,720,3976,1659
41144,1500,3882,2075
41145,300,-789,-517
41145,720,-791,-1430
41145,1500,124,-903
41146,300,-2046,-1841
41146,720,-4065,-2648
41146,1500,-10891,-12084
41147,300,1357,-29
41147,720,14,-228
41147,1500,4684,5583
41148,300,127,476
41148,720,-1642,-2467
41148,1500,-228,-2430
41149,300,2216,1070
41149,720,3449,176
41149,1500,5769,3108
41150,300,327,-155
41150,720,2172,2138
41150,1500,19011,18110
41151,300,18,-316
41151,720,1107,1703
41151,1500,2471,7203
41152,300,1422,678
41152,720,-2007,-1962
41152,1500,1158,-3798
41153,300,1677,1104
41153,720,5610,4008
41153,1500,14595,14224
41154,300,-312,-1239
41154,720,-4399,-4371
41154,1500,-2537,-6451
41155,300,-308,-357
41155,720,3723,4346
41155,1500,18632,17767
41156,300,-275,-725
41156,720,1748,592
41156,1500,-9279,-18344
41157,300,203,-1827
41157,720,-4393,-6047
41157,1500,-11639,-18726
41158,300,-357,-543
41158,720,-2094,-2438
