match_id,times,rad_gold_adv,rad_xp_adv
20807,300,-748,-514
20807,720,-854,-1071
20807,1500,554,4182
20808,300,136,-786
20808,720,87,-1600
20808,1500,603,-3884
20809,300,97,18
20809,720,-1431,-271
20809,1500,85,14
20810,300,-515,-491
20810,720,-3156,-710
20810,1500,-4637,-4715
20811,300,966,2202
20811,720,598,3011
20811,1500,-4281,-1907
20812,300,-179,-893
20812,720,-2644,-3638
20812,1500,-2181,-3583
20813,300,300,-697
20813,720,-620,-1688
20813,1500,-5635,-4675
20814,300,554,804
20814,720,-1098,-1376
20814,1500,-8521,-12471
20815,300,-203,-322
20815,720,146,5
20815,1500,-222,-2133
20816,300,-1822,-1185
20816,720,-2057,-292
20816,1500,10474,11924
20817,300,102,-256
20817,720,4017,4153
20817,1500,15665,18871
20818,300,644,900
20818,720,29,-324
20818,1500,-95,478
20819,300,-139,-2011
20819,720,411,969
20819,1500,13300,18364
20820,300,504,-329
20820,720,-3514,-5472
20820,1500,-3425,-7327
20821,300,-230,674
20821,720,4566,2753
20821,1500,20992,6371
20822,300,-2222,-1060
20822,720,-5001,-2216
20822,1500,-11019,-5182
20823,300,516,1650
20823,720,3730,3749
20823,1500,15609,21725
20824,300,2049,995
20824,720,2998,1297
20824,1500,-6232,-12501
20825,300,1205,225
20825,720,1332,9
20825,1500,3217,-3935
20826,300,1048,1646
20826,720,1831,2275
20826,1500,2559,5412
20827,300,-990,-572
20827,720,-939,-672
20827,1500,-337,15
20828,300,-595,-137
20828,720,-1676,601
20828,1500,-13,1358
20829,300,106,-244
20829,720,476,600
20829,1500,-2456,-10277
20830,300,174,349
20830,720,4395,3912
20830,1500,-2760,-5989
20831,300,1509,721
20831,720,2651,3799
20831,1500,2610,3898
20832,300,1026,883
20832,720,1995,2427
20832,1500,20294,13457
20833,300,-696,457
20833,720,1554,2855
20833,1500,-418,-5766
20834,300,-1071,-498
20834,720,-466,-187
20834,1500,-2393,-3278
20835,300,55,792
20835,720,253,1168
20835,1500,11636,13809
20836,300,-809,-77
20836,720,-23,2385
20836,1500,3820,3866
20837,300,-855,-693
20837,720,-1313,-947
20837,1500,2511,6570
20838,300,1102,1378
20838,720,1032,795
20838,1500,9275,9493
20839,300,599,-329
20839,720,982,-740
20839,1500,276,-7119
20840,300,-1563,-108
20840,720,-1888,-1983
20840,1500,-20317,-13381
20841,300,2408,1236
20841,720,4066,2473
20841,1500,4987,1890
20842,300,-1046,-528
20842,720,-986,-1285
20842,1500,99,-2484
20843,300,33,177
20843,720,-2797,-3735
20843,1500,-1110,-811
20844,300,2026,1829
20844,720,5837,4017
20844,1500,4420,3886
20845,300,-5871,-3443
20845,720,-9886,-6756
20845,1500,-20605,-18001
20846,300,-235,-311
20846,720,762,2800
20846,1500,-557,1787
20847,300,-2612,-1823
20847,720,-6244,-5845
20847,1500,-18707,-14160
20848,300,2722,2449
20848,720,4786,4905
20849,300,-67,-648
20849,720,-224,3883
20849,1500,5676,19549
20850,300,286,452
20850,720,3265,5768
20850,1500,11677,15631
20851,300,1424,662
20851,720,812,1606
20851,1500,7385,12297
20852,300,910,-87
20852,720,2486,-937
20852,1500,1838,1390
20853,300,-1182,-1179
20853,720,-2971,-3275
20853,1500,2425,3185
20854,300,-1476,-1474
20854,720,-2051,-1869
20854,1500,-3717,-5035
20855,300,-2467,-1202
20855,720,-3508,-2982
20855,1500,-2687,-2117
20856,300,-459,152
20856,720,-3133,-3039
20856,1500,-4671,-8971
20857,300,660,-264
20857,720,901,588
20857,1500,-2072,2466
20858,300,1231,1052
20858,720,2953,499
20858,1500,7375,8603
20859,300,762,644
20859,720,5346,7126
20859,1500,11607,15168
20860,300,-522,-1373
20860,720,-1876,-2428
20860,1500,-1002,-2136
20861,300,-931,-1970
20861,720,-2806,-4414
20861,1500,-8604,-7165
20862,300,-212,-664
20862,720,-237,-1523
20862,1500,3036,-1017
20863,300,300,-1100
20863,720,202,-1373
20863,1500,13353,14052
20864,300,2640,1432
20864,720,4869,5959
20864,1500,3724,5336
20865,300,652,-595
20865,720,1548,-2421
20865,1500,6126,-1467
20866,300,1778,-56
20866,720,3474,480
20866,1500,14162,9347
20867,300,1697,1349
20867,720,5254,4431
20867,1500,11418,10638
20868,300,-241,-569
20868,720,3062,1176
20868,1500,10672,11769
20869,300,961,-39
20869,720,5730,2044
20870,300,-7,-176
20870,720,43,-1664
20870,1500,-4105,-6388
20871,300,1148,1786
20871,720,-207,1438
20871,1500,-6530,-4923
20872,300,1126,2087
