Match ID,Radiant pick,Dire pick,Radiant Win,Score,Last hits,radiant win %,dire win %
5216130619,"['juggernaut', 'storm_spirit', 'tusk', 'crystal_maiden', 'skywrath_mage']","['vengefulspirit', 'ogre_magi', 'brewmaster', 'drow_ranger', 'pangolier']",1,20,355,0.49219999999999997,0.5074
5216130702,"['magnataur', 'juggernaut', 'monkey_king', 'crystal_maiden', 'lion']","['invoker', 'antimage', 'winter_wyvern', 'bloodseeker', 'silencer']",0,4,-335,0.4992,0.5008
5216130806,"['void_spirit', 'slark', 'windrunner', 'tiny', 'rubick']","['gyrocopter', 'mars', 'dazzle', 'phantom_lancer', 'dark_willow']",1,29,265,0.4805999999999999,0.5192000000000001
5216130807,"['dragon_knight', 'enigma', 'slark', 'lion', 'invoker']","['beastmaster', 'riki', 'dark_seer', 'furion', 'drow_ranger']",1,29,176,0.4546,0.5456
5216130810,"['rubick', 'life_stealer', 'obsidian_destroyer', 'lion', 'abyssal_underlord']","['ursa', 'slark', 'pudge', 'venomancer', 'razor']",0,-18,-60,0.458,0.5416
5216130910,"['phantom_assassin', 'pudge', 'nevermore', 'abaddon', 'lina']","['monkey_king', 'obsidian_destroyer', 'disruptor', 'terrorblade', 'crystal_maiden']",1,14,144,0.48360000000000003,0.5166000000000001
5216131000,"['ursa', 'invoker', 'grimstroke', 'silencer', 'razor']","['axe', 'shadow_demon', 'dark_willow', 'slark', 'juggernaut']",0,-38,-534,0.48360000000000003,0.5164
5216131001,"['winter_wyvern', 'lina', 'legion_commander', 'sven', 'centaur']","['earthshaker', 'necrolyte', 'rubick', 'slark', 'monkey_king']",1,6,10,0.4798,0.5202000000000001
5216131002,"['juggernaut', 'lich', 'bounty_hunter', 'clinkz', 'kunkka']","['ogre_magi', 'viper', 'crystal_maiden', 'slark', 'rattletrap']",0,1,3,0.4856,0.5144
5216131011,"['clinkz', 'slark', 'lina', 'rubick', 'abyssal_underlord']","['jakiro', 'antimage', 'lion', 'nyx_assassin', 'windrunner']",0,-15,-323,0.5566000000000001,0.44320000000000004
5216131018,"['viper', 'sand_king', 'pudge', 'rubick', 'leshrac']","['naga_siren', 'skeleton_king', 'slardar', 'jakiro', 'tinker']",1,19,207,0.5134,0.4866
5216131019,"['jakiro', 'terrorblade', 'earth_spirit', 'axe', 'nevermore']","['dazzle', 'pudge', 'magnataur', 'shredder', 'life_stealer']",1,2,-106,0.4706,0.5294000000000001
5216131100,"['snapfire', 'doom_bringer', 'rubick', 'pudge', 'faceless_void']","['lion', 'necrolyte', 'undying', 'lone_druid', 'sven']",0,1,-3,0.5172000000000001,0.4828
5216131102,"['mirana', 'venomancer', 'ogre_magi', 'drow_ranger', 'tinker']","['slark', 'sniper', 'treant', 'mars', 'lion']",0,-10,-1,0.5154,0.4848
5216131104,"['nevermore', 'slark', 'tusk', 'abyssal_underlord', 'crystal_maiden']","['rubick', 'magnataur', 'lion', 'puck', 'alchemist']",1,9,-127,0.5226,0.47759999999999997
5216131105,"['invoker', 'lion', 'night_stalker', 'legion_commander', 'faceless_void']","['puck', 'jakiro', 'centaur', 'antimage', 'storm_spirit']",0,-3,-242,0.4734,0.5266
5216131204,"['sven', 'skywrath_mage', 'sniper', 'skeleton_king', 'tinker']","['treant', 'ogre_magi', 'chaos_knight', 'faceless_void', 'pudge']",0,-11,-177,0.4633999999999999,0.5364
5216131205,"['zuus', 'disruptor', 'legion_commander', 'pudge', 'antimage']","['skeleton_king', 'abaddon', 'shadow_shaman', 'lion', 'nevermore']",0,-16,-146,0.5256000000000001,0.4742
5216131207,"['pangolier', 'monkey_king', 'lich', 'pudge', 'shadow_shaman']","['clinkz', 'puck', 'abaddon', 'snapfire', 'tiny']",1,20,56,0.46320000000000006,0.5370000000000001
5216131218,"['monkey_king', 'rubick', 'tiny', 'legion_commander', 'arc_warden']","['puck', 'invoker', 'faceless_void', 'pudge', 'shadow_demon']",1,5,275,0.5136,0.48640000000000005
5216131314,"['phantom_assassin', 'mirana', 'necrolyte', 'lich', 'bane']","['omniknight', 'slark', 'doom_bringer', 'pudge', 'spectre']",1,29,22,0.506,0.49379999999999996
5216131316,"['pudge', 'legion_commander', 'troll_warlord', 'spectre', 'lion']","['juggernaut', 'bounty_hunter', 'treant', 'life_stealer', 'sniper']",1,19,68,0.47140000000000004,0.5288
5216131318,"['windrunner', 'legion_commander', 'silencer', 'lion', 'drow_ranger']","['morphling', 'disruptor', 'wisp', 'abyssal_underlord', 'dragon_knight']",0,-6,-97,0.458,0.542
5216131415,"['pangolier', 'enigma', 'life_stealer', 'shadow_shaman', 'tiny']","['nevermore', 'puck', 'rattletrap', 'slark', 'monkey_king']",1,19,68,0.5002000000000001,0.49960000000000004
5216131416,"['slark', 'queenofpain', 'snapfire', 'abaddon', 'necrolyte']","['windrunner', 'spirit_breaker', 'dragon_knight', 'huskar', 'bristleback']",1,10,34,0.5342,0.46580000000000005
5216131501,"['faceless_void', 'puck', 'dragon_knight', 'tiny', 'phoenix']","['clinkz', 'magnataur', 'lich', 'skywrath_mage', 'ember_spirit']",1,16,104,0.49539999999999995,0.5045999999999999
5216131502,"['slark', 'legion_commander', 'wisp', 'pudge', 'invoker']","['treant', 'nevermore', 'medusa', 'rattletrap', 'techies']",0,-23,-164,0.4746,0.5256000000000001
5216131503,"['pudge', 'mirana', 'phantom_assassin', 'magnataur', 'tinker']","['zuus', 'monkey_king', 'bristleback', 'riki', 'keeper_of_the_light']",0,1,211,0.5326,0.4673999999999999
5216131618,"['earthshaker', 'morphling', 'crystal_maiden', 'abyssal_underlord', 'phantom_lancer']","['phantom_assassin', 'ancient_apparition', 'earth_spirit', 'dragon_knight', 'invoker']",1,21,78,0.5054000000000001,0.4946
5216131700,"['earthshaker', 'skywrath_mage', 'naga_siren', 'legion_commander', 'zuus']","['templar_assassin', 'shadow_demon', 'mirana', 'invoker', 'windrunner']",0,-15,43,0.4702,0.5298
5216131702,"['kunkka', 'zuus', 'slark', 'witch_doctor', 'centaur']","['drow_ranger', 'lion', 'dragon_knight', 'rattletrap', 'dark_willow']",1,12,266,0.512,0.488
5216131705,"['mars', 'drow_ranger', 'jakiro', 'morphling', 'shadow_demon']","['crystal_maiden', 'witch_doctor', 'rattletrap', 'zuus', 'lone_druid']",1,8,239,0.48600000000000004,0.514
5216131706,"['sniper', 'pudge', 'slark', 'disruptor', 'skeleton_king']","['zuus', 'abyssal_underlord', 'lion', 'legion_commander', 'ember_spirit']",1,9,81,0.5314,0.4686
5216131707,"['tinker', 'riki', 'invoker', 'drow_ranger', 'disruptor']","['slark', 'ursa', 'ogre_magi', 'skywrath_mage', 'lion']",0,-30,29,0.5032,0.4968
5216131805,"['legion_commander', 'queenofpain', 'techies', 'slark', 'omniknight']","['phantom_assassin', 'ogre_magi', 'weaver', 'disruptor', 'earthshaker']",0,-7,254,0.5186,0.4934
5216131807,"['shredder', 'disruptor', 'pangolier', 'treant', 'arc_warden']","['night_stalker', 'lone_druid', 'meepo', 'ogre_magi', 'vengefulspirit']",0,-13,-154,0.45439999999999997,0.5458000000000001
5216131809,"['razor', 'rubick', 'vengefulspirit', 'pudge', 'puck']","['winter_wyvern', 'arc_warden', 'sand_king', 'lina', 'juggernaut']",1,12,38,0.49720000000000003,0.5027999999999999
5216131903,"['keeper_of_the_light', 'pudge', 'naga_siren', 'kunkka', 'disruptor']","['sniper', 'silencer', 'tiny', 'lion', 'storm_spirit']",1,0,45,0.541,0.4588
5216131909,"['lich', 'lone_druid', 'bristleback', 'legion_commander', 'enigma']","['axe', 'juggernaut', 'faceless_void', 'lion', 'shadow_shaman']",1,32,147,0.5438000000000001,0.45620000000000005
5216131916,"['necrolyte', 'slardar', 'dark_willow', 'windrunner', 'rubick']","['pangolier', 'ancient_apparition', 'juggernaut', 'skeleton_king', 'lina']",0,-13,-347,0.5204000000000001,0.4798
5216132114,"['lich', 'monkey_king', 'bloodseeker', 'slark', 'nyx_assassin']","['crystal_maiden', 'rubick', 'morphling', 'shredder', 'faceless_void']",1,12,-65,0.4918,0.5082
5216132115,"['morphling', 'shredder', 'mirana', 'techies', 'nevermore']","['slardar', 'tinker', 'bounty_hunter', 'pudge', 'viper']",0,-13,48,0.5032,0.505
5216132201,"['dazzle', 'lich', 'sniper', 'chaos_knight', 'pangolier']","['rubick', 'riki', 'bane', 'death_prophet', 'viper']",1,1,-219,0.4744,0.5254000000000001
5216132202,"['sven', 'pudge', 'viper', 'vengefulspirit', 'earthshaker']","['phantom_lancer', 'slark', 'jakiro', 'snapfire', 'lina']",1,15,-53,0.4668,0.533
5216132204,"['invoker', 'storm_spirit', 'legion_commander', 'morphling', 'earthshaker']","['faceless_void', 'silencer', 'drow_ranger', 'tinker', 'nyx_assassin']",1,13,-32,0.495,0.5052
5216132216,"['earthshaker', 'storm_spirit', 'monkey_king', 'pudge', 'wisp']","['silencer', 'phantom_lancer', 'invoker', 'batrider', 'crystal_maiden']",1,3,3,0.4968,0.5029999999999999
5216132217,"['zuus', 'necrolyte', 'slardar', 'antimage', 'grimstroke']","['pudge', 'pangolier', 'lion', 'abyssal_underlord', 'slark']",1,12,-261,0.5218,0.4782
